intrinsic,argument_preparation,a64_instruction,result,supported_architecture
"float64x1_t vcvt_n_f64_u64(uint64x1_t a, const int n)","a → Dn
1 <= n <= 64","UCVTF Dd,Dn,#n",Dd,ARMv8(AArch64)
"float64x2_t vcvtq_n_f64_u64(uint64x2_t a, const int n)","a → Vn.2D
1 <= n <= 64","UCVTF Vd.2D,Vn.2D,#n",Vd.2D,ARMv8(AArch64)
"float64_t vcvtd_n_f64_s64(int64_t a, const int n)","a → Dn
1 <= n <= 64","SCVTF Dd,Dn,#n",Dd,ARMv8(AArch64)
"float64_t vcvtd_n_f64_u64(uint64_t a, const int n)","a → Dn
1 <= n <= 64","UCVTF Dd,Dn,#n",Dd,ARMv8(AArch64)
float16x4_t vcvt_f16_f32(float32x4_t a),a → Vn.4S,"FCVTN Vd.4H,Vn.4S",Vd.4H,"ARMv7
ARMv8"
"float16x8_t vcvt_high_f16_f32(float16x4_t r, float32x4_t a)","r → Vd.4H
a → Vn.4S","FCVTN2 Vd.8H,Vn.4S",Vd.8H,ARMv8(AArch64)
float32x2_t vcvt_f32_f64(float64x2_t a),a → Vn.2D,"FCVTN Vd.2S,Vn.2D",Vd.2S,ARMv8(AArch64)
"float32x4_t vcvt_high_f32_f64(float32x2_t r, float64x2_t a)","r → Vd.2S
a → Vn.2D","FCVTN2 Vd.4S,Vn.2D",Vd.4S,ARMv8(AArch64)
float32x4_t vcvt_f32_f16(float16x4_t a),a → Vn.4H,"FCVTL Vd.4S,Vn.4H",Vd.4S,"ARMv7
ARMv8"
float32x4_t vcvt_high_f32_f16(float16x8_t a),a → Vn.8H,"FCVTL2 Vd.4S,Vn.8H",Vd.4S,ARMv8(AArch64)
float64x2_t vcvt_f64_f32(float32x2_t a),a → Vn.2S,"FCVTL Vd.2D,Vn.2S",Vd.2D,ARMv8(AArch64)
float64x2_t vcvt_high_f64_f32(float32x4_t a),a → Vn.4S,"FCVTL2 Vd.2D,Vn.4S",Vd.2D,ARMv8(AArch64)
float32x2_t vcvtx_f32_f64(float64x2_t a),a → Vn.2D,"FCVTXN Vd.2S,Vn.2D",Vd.2S,ARMv8(AArch64)
float32_t vcvtxd_f32_f64(float64_t a),a → Dn,"FCVTXN Sd,Dn",Sd,ARMv8(AArch64)
"float32x4_t vcvtx_high_f32_f64(float32x2_t r, float64x2_t a)","r → Vd.2S
a → Vn.2D","FCVTXN2 Vd.4S,Vn.2D",Vd.4S,ARMv8(AArch64)
float32x2_t vrnd_f32(float32x2_t a),a → Vn.2S,"FRINTZ Vd.2S,Vn.2S",Vd.2S,ARMv8
float32x4_t vrndq_f32(float32x4_t a),a → Vn.4S,"FRINTZ Vd.4S,Vn.4S",Vd.4S,ARMv8
float64x1_t vrnd_f64(float64x1_t a),a → Dn,"FRINTZ Dd,Dn",Dd,ARMv8(AArch64)
float64x2_t vrndq_f64(float64x2_t a),a → Vn.2D,"FRINTZ Vd.2D,Vn.2D",Vd.2D,ARMv8(AArch64)
float32x2_t vrndn_f32(float32x2_t a),a → Vn.2S,"FRINTN Vd.2S,Vn.2S",Vd.2S,ARMv8
float32x4_t vrndnq_f32(float32x4_t a),a → Vn.4S,"FRINTN Vd.4S,Vn.4S",Vd.4S,ARMv8
float64x1_t vrndn_f64(float64x1_t a),a → Dn,"FRINTN Dd,Dn",Dd,ARMv8
float64x2_t vrndnq_f64(float64x2_t a),a → Vn.2D,"FRINTN Vd.2D,Vn.2D",Vd.2D,ARMv8
float32_t vrndns_f32(float32_t a),a → Sn,"FRINTN Sd,Sn",Sd,ARMv8
float32x2_t vrndm_f32(float32x2_t a),a → Vn.2S,"FRINTM Vd.2S,Vn.2S",Vd.2S,ARMv8
float32x4_t vrndmq_f32(float32x4_t a),a → Vn.4S,"FRINTM Vd.4S,Vn.4S",Vd.4S,ARMv8
float64x1_t vrndm_f64(float64x1_t a),a → Dn,"FRINTM Dd,Dn",Dd,ARMv8(AArch64)
float64x2_t vrndmq_f64(float64x2_t a),a → Vn.2D,"FRINTM Vd.2D,Vn.2D",Vd.2D,ARMv8(AArch64)
float32x2_t vrndp_f32(float32x2_t a),a → Vn.2S,"FRINTP Vd.2S,Vn.2S",Vd.2S,ARMv8
float32x4_t vrndpq_f32(float32x4_t a),a → Vn.4S,"FRINTP Vd.4S,Vn.4S",Vd.4S,ARMv8
float64x1_t vrndp_f64(float64x1_t a),a → Dn,"FRINTP Dd,Dn",Dd,ARMv8(AArch64)
float64x2_t vrndpq_f64(float64x2_t a),a → Vn.2D,"FRINTP Vd.2D,Vn.2D",Vd.2D,ARMv8(AArch64)
float32x2_t vrnda_f32(float32x2_t a),a → Vn.2S,"FRINTA Vd.2S,Vn.2S",Vd.2S,ARMv8
float32x4_t vrndaq_f32(float32x4_t a),a → Vn.4S,"FRINTA Vd.4S,Vn.4S",Vd.4S,ARMv8
float64x1_t vrnda_f64(float64x1_t a),a → Dn,"FRINTA Dd,Dn",Dd,ARMv8(AArch64)
float64x2_t vrndaq_f64(float64x2_t a),a → Vn.2D,"FRINTA Vd.2D,Vn.2D",Vd.2D,ARMv8(AArch64)
float32x2_t vrndi_f32(float32x2_t a),a → Vn.2S,"FRINTI Vd.2S,Vn.2S",Vd.2S,ARMv8(AArch64)
float32x4_t vrndiq_f32(float32x4_t a),a → Vn.4S,"FRINTI Vd.4S,Vn.4S",Vd.4S,ARMv8(AArch64)
float64x1_t vrndi_f64(float64x1_t a),"FRINTI Dd,Dn",Dd,a → Dn,ARMv8(AArch64)
float64x2_t vrndiq_f64(float64x2_t a),a → Vn.2D,"FRINTI Vd.2D,Vn.2D",Vd.2D,ARMv8(AArch64)
float32x2_t vrndx_f32(float32x2_t a),a → Vn.2S,"FRINTX Vd.2S,Vn.2S",Vd.2S,ARMv8
float32x4_t vrndxq_f32(float32x4_t a),a → Vn.4S,"FRINTX Vd.4S,Vn.4S",Vd.4S,ARMv8
float64x1_t vrndx_f64(float64x1_t a),a → Dn,"FRINTX Dd,Dn",Dd,ARMv8(AArch64)
float64x2_t vrndxq_f64(float64x2_t a),a → Vn.2D,"FRINTX Vd.2D,Vn.2D",Vd.2D,ARMv8(AArch64)
int8x8_t vmovn_s16(int16x8_t a),a → Vn.8H,"XTN Vd.8B,Vn.8H",Vd.8B,"ARMv7
ARMv8"
int16x4_t vmovn_s32(int32x4_t a),a → Vn.4S,"XTN Vd.4H,Vn.4S",Vd.4H,"ARMv7
ARMv8"
int32x2_t vmovn_s64(int64x2_t a),a → Vn.2D,"XTN Vd.2S,Vn.2D",Vd.2S,"ARMv7
ARMv8"
uint8x8_t vmovn_u16(uint16x8_t a),a → Vn.8H,"XTN Vd.8B,Vn.8H",Vd.8B,"ARMv7
ARMv8"
uint16x4_t vmovn_u32(uint32x4_t a),a → Vn.4S,"XTN Vd.4H,Vn.4S",Vd.4H,"ARMv7
ARMv8"
uint32x2_t vmovn_u64(uint64x2_t a),a → Vn.2D,"XTN Vd.2S,Vn.2D",Vd.2S,"ARMv7
ARMv8"
"int8x16_t vmovn_high_s16(int8x8_t r, int16x8_t a)","r → Vd.8B
a → Vn.8H","XTN2 Vd.16B,Vn.8H",Vd.16B,ARMv8(AArch64)
"int16x8_t vmovn_high_s32(int16x4_t r, int32x4_t a)","r → Vd.4H
a → Vn.4S","XTN2 Vd.8H,Vn.4S",Vd.8H,ARMv8(AArch64)
"int32x4_t vmovn_high_s64(int32x2_t r, int64x2_t a)","r → Vd.2S
a → Vn.2D","XTN2 Vd.4S,Vn.2D",Vd.4S,ARMv8(AArch64)
"uint8x16_t vmovn_high_u16(uint8x8_t r, uint16x8_t a)","r → Vd.8B
a → Vn.8H","XTN2 Vd.16B,Vn.8H",Vd.16B,ARMv8(AArch64)
"uint16x8_t vmovn_high_u32(uint16x4_t r, uint32x4_t a)","r → Vd.4H
a → Vn.4S","XTN2 Vd.8H,Vn.4S",Vd.8H,ARMv8(AArch64)
"uint32x4_t vmovn_high_u64(uint32x2_t r, uint64x2_t a)","r → Vd.2S
a → Vn.2D","XTN2 Vd.4S,Vn.2D",Vd.4S,ARMv8(AArch64)
int16x8_t vmovl_s8(int8x8_t a),a → Vn.8B,"SSHLL Vd.8H,Vn.8B,#0",Vd.8H,"ARMv7
ARMv8"
int32x4_t vmovl_s16(int16x4_t a),a → Vn.4H,"SSHLL Vd.4S,Vn.4H,#0",Vd.4S,"ARMv7
ARMv8"
int64x2_t vmovl_s32(int32x2_t a),a → Vn.2S,"SSHLL Vd.2D,Vn.2S,#0",Vd.2D,"ARMv7
ARMv8"
uint16x8_t vmovl_u8(uint8x8_t a),a → Vn.8B,"USHLL Vd.8H,Vn.8B,#0",Vd.8H,"ARMv7
ARMv8"
uint32x4_t vmovl_u16(uint16x4_t a),a → Vn.4H,"USHLL Vd.4S,Vn.4H,#0",Vd.4S,"ARMv7
ARMv8"
uint64x2_t vmovl_u32(uint32x2_t a),a → Vn.2S,"USHLL Vd.2D,Vn.2S,#0",Vd.2D,"ARMv7
ARMv8"
int16x8_t vmovl_high_s8(int8x16_t a),a → Vn.16B,"SSHLL2 Vd.8H,Vn.16B,#0",Vd.8H,ARMv8(AArch64)
int32x4_t vmovl_high_s16(int16x8_t a),a → Vn.8H,"SSHLL2 Vd.4S,Vn.8H,#0",Vd.4S,ARMv8(AArch64)
int64x2_t vmovl_high_s32(int32x4_t a),a → Vn.4S,"SSHLL2 Vd.2D,Vn.4S,#0",Vd.2D,ARMv8(AArch64)
uint16x8_t vmovl_high_u8(uint8x16_t a),a → Vn.16B,"USHLL2 Vd.8H,Vn.16B,#0",Vd.8H,ARMv8(AArch64)
uint32x4_t vmovl_high_u16(uint16x8_t a),a → Vn.8H,"USHLL2 Vd.4S,Vn.8H,#0",Vd.4S,ARMv8(AArch64)
uint64x2_t vmovl_high_u32(uint32x4_t a),a → Vn.4S,"USHLL2 Vd.2D,Vn.4S,#0",Vd.2D,ARMv8(AArch64)
int8x8_t vqmovn_s16(int16x8_t a),a → Vn.8H,"SQXTN Vd.8B,Vn.8H",Vd.8B,"ARMv7
ARMv8"
int16x4_t vqmovn_s32(int32x4_t a),a → Vn.4S,"SQXTN Vd.4H,Vn.4S",Vd.4H,"ARMv7
ARMv8"
int32x2_t vqmovn_s64(int64x2_t a),a → Vn.2D,"SQXTN Vd.2S,Vn.2D",Vd.2S,"ARMv7
ARMv8"
uint8x8_t vqmovn_u16(uint16x8_t a),a → Vn.8H,"UQXTN Vd.8B,Vn.8H",Vd.8B,"ARMv7
ARMv8"
uint16x4_t vqmovn_u32(uint32x4_t a),a → Vn.4S,"UQXTN Vd.4H,Vn.4S",Vd.4H,"ARMv7
ARMv8"
uint32x2_t vqmovn_u64(uint64x2_t a),a → Vn.2D,"UQXTN Vd.2S,Vn.2D",Vd.2S,"ARMv7
ARMv8"
int8_t vqmovnh_s16(int16_t a),a → Hn,"SQXTN Bd,Hn",Bd,ARMv8(AArch64)
int16_t vqmovns_s32(int32_t a),a → Sn,"SQXTN Hd,Sn",Hd,ARMv8(AArch64)
int32_t vqmovnd_s64(int64_t a),a → Dn,"SQXTN Sd,Dn",Sd,ARMv8(AArch64)
uint8_t vqmovnh_u16(uint16_t a),a → Hn,"UQXTN Bd,Hn",Bd,ARMv8(AArch64)
uint16_t vqmovns_u32(uint32_t a),a → Sn,"UQXTN Hd,Sn",Hd,ARMv8(AArch64)
uint32_t vqmovnd_u64(uint64_t a),a → Dn,"UQXTN Sd,Dn",Sd,ARMv8(AArch64)
"int8x16_t vqmovn_high_s16(int8x8_t r, int16x8_t a)","r → Vd.8B
a → Vn.8H","SQXTN2 Vd.16B,Vn.8H",Vd.16B,ARMv8(AArch64)
"int16x8_t vqmovn_high_s32(int16x4_t r, int32x4_t a)","r → Vd.4H
a → Vn.4S","SQXTN2 Vd.8H,Vn.4S",Vd.8H,ARMv8(AArch64)
"int32x4_t vqmovn_high_s64(int32x2_t r, int64x2_t a)","r → Vd.2S
a → Vn.2D","SQXTN2 Vd.4S,Vn.2D",Vd.4S,ARMv8(AArch64)
"uint8x16_t vqmovn_high_u16(uint8x8_t r, uint16x8_t a)","r → Vd.8B
a → Vn.8H","UQXTN2 Vd.16B,Vn.8H",Vd.16B,ARMv8(AArch64)
"uint16x8_t vqmovn_high_u32(uint16x4_t r, uint32x4_t a)","r → Vd.4H
a → Vn.4S","UQXTN2 Vd.8H,Vn.4S",Vd.8H,ARMv8(AArch64)
"uint32x4_t vqmovn_high_u64(uint32x2_t r, uint64x2_t a)","r → Vd.2S
a → Vn.2D","UQXTN2 Vd.4S,Vn.2D",Vd.4S,ARMv8(AArch64)
uint8x8_t vqmovun_s16(int16x8_t a),"SQXTUN Vd.8B,Vn.8H",Vd.8B,a → Vn.8H,"ARMv7
ARMv8"
uint16x4_t vqmovun_s32(int32x4_t a),a → Vn.4S,"SQXTUN Vd.4H,Vn.4S",Vd.4H,"ARMv7
ARMv8"
uint32x2_t vqmovun_s64(int64x2_t a),a → Vn.2D,"SQXTUN Vd.2S,Vn.2D",Vd.2S,"ARMv7
ARMv8"
uint8_t vqmovunh_s16(int16_t a),a → Hn,"SQXTUN Bd,Hn",Bd,ARMv8(AArch64)
uint16_t vqmovuns_s32(int32_t a),a → Sn,"SQXTUN Hd,Sn",Hd,ARMv8(AArch64)
uint32_t vqmovund_s64(int64_t a),a → Dn,"SQXTUN Sd,Dn",Sd,ARMv8(AArch64)
"uint8x16_t vqmovun_high_s16(uint8x8_t r, int16x8_t a)","r → Vd.8B
a → Vn.8H","SQXTUN2 Vd.16B,Vn.8H",Vd.16B,ARMv8(AArch64)
"uint16x8_t vqmovun_high_s32(uint16x4_t r, int32x4_t a)","r → Vd.4H
a → Vn.4S","SQXTUN2 Vd.8H,Vn.4S",Vd.8H,ARMv8(AArch64)
"uint32x4_t vqmovun_high_s64(uint32x2_t r, int64x2_t a)","r → Vd.2S
a → Vn.2D","SQXTUN2 Vd.4S,Vn.2D",Vd.4S,ARMv8(AArch64)
"int16x4_t vmla_lane_s16(int16x4_t a, int16x4_t b, int16x4_t v, const int lane)","a → Vd.4H
b → Vn.4H
v → Vm.4H
0 <= lane <= 3","MLA Vd.4H,Vn.4H,Vm.H[lane]",Vd.4H,"ARMv7
ARMv8"
"int16x8_t vmlaq_lane_s16(int16x8_t a, int16x8_t b, int16x4_t v, const int lane)","a → Vd.8H
b → Vn.8H
v → Vm.4H
0 <= lane <= 3","MLA Vd.8H,Vn.8H,Vm.H[lane]",Vd.8H,"ARMv7
ARMv8"
"int32x2_t vmla_lane_s32(int32x2_t a, int32x2_t b, int32x2_t v, const int lane)","a → Vd.2S
b → Vn.2S
v → Vm.2S
0 <= lane <= 1","MLA Vd.2S,Vn.2S,Vm.S[lane]",Vd.2S,"ARMv7
ARMv8"
"int32x4_t vmlaq_lane_s32(int32x4_t a, int32x4_t b, int32x2_t v, const int lane)","a → Vd.4S
b → Vn.4S
v → Vm.2S
0 <= lane <= 1","MLA Vd.4S,Vn.4S,Vm.S[lane]",Vd.4S,"ARMv7
ARMv8"
"uint16x4_t vmla_lane_u16(uint16x4_t a, uint16x4_t b, uint16x4_t v, const int lane)","a → Vd.4H
b → Vn.4H
v → Vm.4H
0 <= lane <= 3","MLA Vd.4H,Vn.4H,Vm.H[lane]",Vd.4H,"ARMv7
ARMv8"
"uint16x8_t vmlaq_lane_u16(uint16x8_t a, uint16x8_t b, uint16x4_t v, const int lane)","a → Vd.8H
b → Vn.8H
v → Vm.4H
0 <= lane <= 3","MLA Vd.8H,Vn.8H,Vm.H[lane]",Vd.8H,"ARMv7
ARMv8"
"uint32x2_t vmla_lane_u32(uint32x2_t a, uint32x2_t b, uint32x2_t v, const int lane)","a → Vd.2S
b → Vn.2S
v → Vm.2S
0 <= lane <= 1","MLA Vd.2S,Vn.2S,Vm.S[lane]",Vd.2S,"ARMv7
ARMv8"
"uint32x4_t vmlaq_lane_u32(uint32x4_t a, uint32x4_t b, uint32x2_t v, const int lane)","a → Vd.4S
b → Vn.4S
v → Vm.2S
0 <= lane <= 1","MLA Vd.4S,Vn.4S,Vm.S[lane]",Vd.4S,"ARMv7
ARMv8"
"float32x2_t vmla_lane_f32(float32x2_t a, float32x2_t b, float32x2_t v, const int lane)",0 <= lane <= 1,RESULT[I] = a[i] + (b[i] * v[lane]) for i = 0 to 1,N/A,"ARMv7
ARMv8"
"float32x4_t vmlaq_lane_f32(float32x4_t a, float32x4_t b, float32x2_t v, const int lane)",0 <= lane <= 1,RESULT[I] = a[i] + (b[i] * v[lane]) for i = 0 to 3,N/A,"ARMv7
ARMv8"
"int16x4_t vmla_laneq_s16(int16x4_t a, int16x4_t b, int16x8_t v, const int lane)","a → Vd.4H
b → Vn.4H
v → Vm.8H
0 <= lane <= 7","MLA Vd.4H,Vn.4H,Vm.H[lane]",Vd.4H,ARMv8(AArch64)
"int16x8_t vmlaq_laneq_s16(int16x8_t a, int16x8_t b, int16x8_t v, const int lane)","a → Vd.8H
b → Vn.8H
v → Vm.8H
0 <= lane <= 7","MLA Vd.8H,Vn.8H,Vm.H[lane]",Vd.8H,ARMv8(AArch64)
"int32x2_t vmla_laneq_s32(int32x2_t a, int32x2_t b, int32x4_t v, const int lane)","a → Vd.2S
b → Vn.2S
v → Vm.4S
0 <= lane <= 3","MLA Vd.2S,Vn.2S,Vm.S[lane]",Vd.2S,ARMv8(AArch64)
"int32x4_t vmlaq_laneq_s32(int32x4_t a, int32x4_t b, int32x4_t v, const int lane)","a → Vd.4S
b → Vn.4S
v → Vm.4S
0 <= lane <= 3","MLA Vd.4S,Vn.4S,Vm.S[lane]",Vd.4S,ARMv8(AArch64)
"uint16x4_t vmla_laneq_u16(uint16x4_t a, uint16x4_t b, uint16x8_t v, const int lane)","a → Vd.4H
b → Vn.4H
v → Vm.8H
0 <= lane <= 7","MLA Vd.4H,Vn.4H,Vm.H[lane]",Vd.4H,ARMv8(AArch64)
"uint16x8_t vmlaq_laneq_u16(uint16x8_t a, uint16x8_t b, uint16x8_t v, const int lane)","a → Vd.8H
b → Vn.8H
v → Vm.8H
0 <= lane <= 7","MLA Vd.8H,Vn.8H,Vm.H[lane]",Vd.8H,ARMv8(AArch64)
"uint32x2_t vmla_laneq_u32(uint32x2_t a, uint32x2_t b, uint32x4_t v, const int lane)","a → Vd.2S
b → Vn.2S
v → Vm.4S
0 <= lane <= 3","MLA Vd.2S,Vn.2S,Vm.S[lane]",Vd.2S,ARMv8(AArch64)
"uint32x4_t vmlaq_laneq_u32(uint32x4_t a, uint32x4_t b, uint32x4_t v, const int lane)","a → Vd.4S
b → Vn.4S
v → Vm.4S
0 <= lane <= 3","MLA Vd.4S,Vn.4S,Vm.S[lane]",Vd.4S,ARMv8(AArch64)
"float32x2_t vmla_laneq_f32(float32x2_t a, float32x2_t b, float32x4_t v, const int lane)",0 <= lane <= 3,RESULT[I] = a[i] + (b[i] * v[lane]) for i = 0 to 1,N/A,ARMv8(AArch64)
"float32x4_t vmlaq_laneq_f32(float32x4_t a, float32x4_t b, float32x4_t v, const int lane)",0 <= lane <= 3,RESULT[I] = a[i] + (b[i] * v[lane]) for i = 0 to 3,N/A,ARMv8(AArch64)
"int32x4_t vmlal_lane_s16(int32x4_t a, int16x4_t b, int16x4_t v, const int lane)","a → Vd.4S
b → Vn.4H
v → Vm.4H
0 <= lane <= 3","SMLAL Vd.4S,Vn.4H,Vm.H[lane]",Vd.4S,"ARMv7
ARMv8"
"int64x2_t vmlal_lane_s32(int64x2_t a, int32x2_t b, int32x2_t v, const int lane)","a → Vd.2D
b → Vn.2S
v → Vm.2S
0 <= lane <= 1","SMLAL Vd.2D,Vn.2S,Vm.S[lane]",Vd.2D,"ARMv7
ARMv8"
"uint32x4_t vmlal_lane_u16(uint32x4_t a, uint16x4_t b, uint16x4_t v, const int lane)","a → Vd.4S
b → Vn.4H
v → Vm.4H
0 <= lane <= 3","UMLAL Vd.4S,Vn.4H,Vm.H[lane]",Vd.4S,"ARMv7
ARMv8"
"uint64x2_t vmlal_lane_u32(uint64x2_t a, uint32x2_t b, uint32x2_t v, const int lane)","a → Vd.2D
b → Vn.2S
v → Vm.2S
0 <= lane <= 1","UMLAL Vd.2D,Vn.2S,Vm.S[lane]",Vd.2D,"ARMv7
ARMv8"
"int32x4_t vmlal_high_lane_s16(int32x4_t a, int16x8_t b, int16x4_t v, const int lane)","a → Vd.4S
b → Vn.8H
v → Vm.4H
0 <= lane <= 3","SMLAL2 Vd.4S,Vn.8H,Vm.H[lane]",Vd.4S,ARMv8(AArch64)
"int64x2_t vmlal_high_lane_s32(int64x2_t a, int32x4_t b, int32x2_t v, const int lane)","a → Vd.2D
b → Vn.4S
v → Vm.2S
0 <= lane <= 1","SMLAL2 Vd.2D,Vn.4S,Vm.S[lane]",Vd.2D,ARMv8(AArch64)
"uint32x4_t vmlal_high_lane_u16(uint32x4_t a, uint16x8_t b, uint16x4_t v, const int lane)","a → Vd.4S
b → Vn.8H
v → Vm.4H
0 <= lane <= 3","UMLAL2 Vd.4S,Vn.8H,Vm.H[lane]",Vd.4S,ARMv8(AArch64)
"uint64x2_t vmlal_high_lane_u32(uint64x2_t a, uint32x4_t b, uint32x2_t v, const int lane)","a → Vd.2D
b → Vn.4S
v → Vm.2S
0 <= lane <= 1","UMLAL2 Vd.2D,Vn.4S,Vm.S[lane]",Vd.2D,ARMv8(AArch64)
"int32x4_t vmlal_laneq_s16(int32x4_t a, int16x4_t b, int16x8_t v, const int lane)","a → Vd.4S
b → Vn.4H
v → Vm.8H
0 <= lane <= 7","SMLAL Vd.4S,Vn.4H,Vm.H[lane]",Vd.4S,ARMv8(AArch64)
"int64x2_t vmlal_laneq_s32(int64x2_t a, int32x2_t b, int32x4_t v, const int lane)","a → Vd.2D
b → Vn.2S
v → Vm.4S
0 <= lane <= 3","SMLAL Vd.2D,Vn.2S,Vm.S[lane]",Vd.2D,ARMv8(AArch64)
"uint32x4_t vmlal_laneq_u16(uint32x4_t a, uint16x4_t b, uint16x8_t v, const int lane)","a → Vd.4S
b → Vn.4H
v → Vm.8H
0 <= lane <= 7","UMLAL Vd.4S,Vn.4H,Vm.H[lane]",Vd.4S,ARMv8(AArch64)
"uint64x2_t vmlal_laneq_u32(uint64x2_t a, uint32x2_t b, uint32x4_t v, const int lane)","a → Vd.2D
b → Vn.2S
v → Vm.4S
0 <= lane <= 3","UMLAL Vd.2D,Vn.2S,Vm.S[lane]",Vd.2D,ARMv8(AArch64)
"int32x4_t vmlal_high_laneq_s16(int32x4_t a, int16x8_t b, int16x8_t v, const int lane)","a → Vd.4S
b → Vn.8H
v → Vm.8H
0 <= lane <= 7","SMLAL2 Vd.4S,Vn.8H,Vm.H[lane]",Vd.4S,ARMv8(AArch64)
"int64x2_t vmlal_high_laneq_s32(int64x2_t a, int32x4_t b, int32x4_t v, const int lane)","a → Vd.2D
b → Vn.4S
v → Vm.4S
0 <= lane <= 3","SMLAL2 Vd.2D,Vn.4S,Vm.S[lane]",Vd.2D,ARMv8(AArch64)
"uint32x4_t vmlal_high_laneq_u16(uint32x4_t a, uint16x8_t b, uint16x8_t v, const int lane)","a → Vd.4S
b → Vn.8H
v → Vm.8H
0 <= lane <= 7","UMLAL2 Vd.4S,Vn.8H,Vm.H[lane]",Vd.4S,ARMv8(AArch64)
"uint64x2_t vmlal_high_laneq_u32(uint64x2_t a, uint32x4_t b, uint32x4_t v, const int lane)","a → Vd.2D
b → Vn.4S
v → Vm.4S
0 <= lane <= 3","UMLAL2 Vd.2D,Vn.4S,Vm.S[lane]",Vd.2D,ARMv8(AArch64)
"int32x4_t vqdmlal_lane_s16(int32x4_t a, int16x4_t b, int16x4_t v, const int lane)","a → Vd.4S
b → Vn.4H
v → Vm.4H
0 <= lane <= 3","SQDMLAL Vd.4S,Vn.4H,Vm.H[lane]",Vd.4S,"ARMv7
ARMv8"
"int64x2_t vqdmlal_lane_s32(int64x2_t a, int32x2_t b, int32x2_t v, const int lane)","a → Vd.2D
b → Vn.2S
v → Vm.2S
0 <= lane <= 1","SQDMLAL Vd.2D,Vn.2S,Vm.S[lane]",Vd.2D,"ARMv7
ARMv8"
"int32_t vqdmlalh_lane_s16(int32_t a, int16_t b, int16x4_t v, const int lane)","a → Sd
b → Hn
v → Vm.4H
0 <= lane <= 3","SQDMLAL Sd,Hn,Vm.H[lane]",Sd,ARMv8(AArch64)
"int64_t vqdmlals_lane_s32(int64_t a, int32_t b, int32x2_t v, const int lane)","a → Dd
b → Sn
v → Vm.2S
0 <= lane <= 1","SQDMLAL Dd,Sn,Vm.S[lane]",Dd,ARMv8(AArch64)
"int32x4_t vqdmlal_high_lane_s16(int32x4_t a, int16x8_t b, int16x4_t v, const int lane)","a → Vd.4S
b → Vn.8H
v → Vm.4H
0 <= lane <= 3","SQDMLAL2 Vd.4S,Vn.8H,Vm.H[lane]",Vd.4S,ARMv8(AArch64)
"int64x2_t vqdmlal_high_lane_s32(int64x2_t a, int32x4_t b, int32x2_t v, const int lane)","a → Vd.2D
b → Vn.4S
v → Vm.2S
0 <= lane <= 1","SQDMLAL2 Vd.2D,Vn.4S,Vm.S[lane]",Vd.2D,ARMv8(AArch64)
"int32x4_t vqdmlal_laneq_s16(int32x4_t a, int16x4_t b, int16x8_t v, const int lane)","a → Vd.4S
b → Vn.4H
v → Vm.8H
0 <= lane <= 7","SQDMLAL Vd.4S,Vn.4H,Vm.H[lane]",Vd.4S,ARMv8(AArch64)
"int64x2_t vqdmlal_laneq_s32(int64x2_t a, int32x2_t b, int32x4_t v, const int lane)","a → Vd.2D
b → Vn.2S
v → Vm.4S
0 <= lane <= 3","SQDMLAL Vd.2D,Vn.2S,Vm.S[lane]",Vd.2D,ARMv8(AArch64)
"int32_t vqdmlalh_laneq_s16(int32_t a, int16_t b, int16x8_t v, const int lane)","a → Sd
b → Hn
v → Vm.8H
0 <= lane <= 7","SQDMLAL Sd,Hn,Vm.H[lane]",Sd,ARMv8(AArch64)
"int64_t vqdmlals_laneq_s32(int64_t a, int32_t b, int32x4_t v, const int lane)","a → Dd
b → Sn
v → Vm.4S
0 <= lane <= 3","SQDMLAL Dd,Sn,Vm.S[lane]",Dd,ARMv8(AArch64)
"int32x4_t vqdmlal_high_laneq_s16(int32x4_t a, int16x8_t b, int16x8_t v, const int lane)","a → Vd.4S
b → Vn.8H
v → Vm.8H
0 <= lane <= 7","SQDMLAL2 Vd.4S,Vn.8H,Vm.H[lane]",Vd.4S,ARMv8(AArch64)
"int64x2_t vqdmlal_high_laneq_s32(int64x2_t a, int32x4_t b, int32x4_t v, const int lane)","a → Vd.2D
b → Vn.4S
v → Vm.4S
0 <= lane <= 3","SQDMLAL2 Vd.2D,Vn.4S,Vm.S[lane]",Vd.2D,ARMv8(AArch64)
"int16x4_t vmls_lane_s16(int16x4_t a, int16x4_t b, int16x4_t v, const int lane)","a → Vd.4H
b → Vn.4H
v → Vm.4H
0 <= lane <= 3","MLS Vd.4H,Vn.4H,Vm.H[lane]",Vd.4H,"ARMv7
ARMv8"
"int16x8_t vmlsq_lane_s16(int16x8_t a, int16x8_t b, int16x4_t v, const int lane)","a → Vd.8H
b → Vn.8H
v → Vm.4H
0 <= lane <= 3","MLS Vd.8H,Vn.8H,Vm.H[lane]",Vd.8H,"ARMv7
ARMv8"
"int32x2_t vmls_lane_s32(int32x2_t a, int32x2_t b, int32x2_t v, const int lane)","a → Vd.2S
b → Vn.2S
v → Vm.2S
0 <= lane <= 1","MLS Vd.2S,Vn.2S,Vm.S[lane]",Vd.2S,"ARMv7
ARMv8"
"int32x4_t vmlsq_lane_s32(int32x4_t a, int32x4_t b, int32x2_t v, const int lane)","a → Vd.4S
b → Vn.4S
v → Vm.2S
0 <= lane <= 1","MLS Vd.4S,Vn.4S,Vm.S[lane]",Vd.4S,"ARMv7
ARMv8"
